arxiv_id,title,published,primary_category,score,level,writing_only,pdf_url
2511.02864,Mathematical exploration and discovery at scale,2025-11-03T16:04:07+00:00,cs.NE,17.0,L3,0,https://arxiv.org/pdf/2511.02864v3
2509.19854,L-Mosaics and Bounded Join-Semilattices in Isabelle/HOL,2025-09-24T07:53:29+00:00,cs.LO,15.5,L2,0,https://arxiv.org/pdf/2509.19854v1
2606.19761,Finishing Oltean's Completeness Proof in Lean 4 for Hybrid Logic $L(\forall)$,2026-06-18T03:44:43+00:00,cs.LO,14.0,L2,0,https://arxiv.org/pdf/2606.19761v1
2608.01396,"Three Graffiti.pc Conjectures on Largest Induced Trees: Proofs of Conjectures 141, 142, and 143",2026-08-02T17:23:15+00:00,math.CO,11.5,L3,0,https://arxiv.org/pdf/2608.01396v1
2607.24483,The exact solution of Bellman's lost-in-a-forest problem for the golden gnomon,2026-07-27T14:18:28+00:00,math.MG,10.0,L3,0,https://arxiv.org/pdf/2607.24483v1
2606.29406,Adaptive AI Delegation under Uncertainty: A Bayesian Governance Policy for Sequential Decision Authority,2026-06-28T14:01:42+00:00,q-fin.RM,9.0,L1,0,https://arxiv.org/pdf/2606.29406v1
2604.05238,A Prime-Generated Formalization of Nagata's Factoriality Theorem in Lean 4,2026-04-06T23:01:57+00:00,math.AC,8.5,L2,0,https://arxiv.org/pdf/2604.05238v1
2607.29349,The $δ$-calculus: from distinction to arithmetic,2026-07-31T12:35:05+00:00,math.LO,7.5,L2,0,https://arxiv.org/pdf/2607.29349v1
2607.29111,Fitting's Theorem and Semirings of Normal Subgroups,2026-07-31T07:40:56+00:00,math.GR,7.5,L2,0,https://arxiv.org/pdf/2607.29111v1
2608.00081,Value distributions for read-once polynomials on finite fields,2026-07-29T15:48:27+00:00,math.CO,7.5,L2,0,https://arxiv.org/pdf/2608.00081v1
2607.27918,OptGraph: Large Language Models Enhanced Evolutionary Optimization Via Graph Retrieval-Augmented Generation,2026-07-30T09:30:03+00:00,math.OC,7.0,L1,0,https://arxiv.org/pdf/2607.27918v1
2607.25956,Large Language Model for Operations Research Formulation Selection in Multi-Warehouse Inventory Allocation,2026-07-28T16:41:54+00:00,cs.AI,7.0,L1,0,https://arxiv.org/pdf/2607.25956v1
2607.23828,Powers of the Vandermonde determinant are eventually non-SNP,2026-07-26T20:26:54+00:00,math.CO,7.0,L2,0,https://arxiv.org/pdf/2607.23828v1
2603.25682,On the Formalization of Network Topology Matrices in HOL,2026-03-26T17:32:40+00:00,cs.LO,7.0,L2,0,https://arxiv.org/pdf/2603.25682v1
2608.00377,Schubitopes are not Ehrhart positive,2026-08-01T01:20:07+00:00,math.CO,6.0,L1,0,https://arxiv.org/pdf/2608.00377v1
2607.25533,Computable Quantification in Reflective Grounded Arithmetic,2026-07-28T10:18:18+00:00,math.LO,6.0,L1,0,https://arxiv.org/pdf/2607.25533v1
2607.03639,An AI-Assisted Solution to the Signed BAR Conjecture: Uniqueness in the Harrison--Reiman Class and a Completely-$\mathcal{S}$ Class Obstruction,2026-07-03T23:34:23+00:00,math.PR,6.0,L1,0,https://arxiv.org/pdf/2607.03639v1
2607.25628,Kernel-Checked Exclusions for the Erdős-Selfridge Odd Covering Problem: Any Odd Covering of $\mathbb{Z}$ Has lcm Exceeding 10000,2026-07-28T12:10:26+00:00,cs.LO,5.5,L1,0,https://arxiv.org/pdf/2607.25628v1
2608.02327,ICC property(T) groups without W$^*$-superrigidity,2026-08-03T14:50:28+00:00,math.OA,5.0,L1,0,https://arxiv.org/pdf/2608.02327v1
2608.01040,The equality case of Ehrhart's volume conjecture,2026-08-02T06:54:11+00:00,math.CO,5.0,L1,0,https://arxiv.org/pdf/2608.01040v1
